Namespace(algo='a2c', batch_size=128, checkpoint_freq=250000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0006, niter=1000000, nproc=8, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_a2c/', target_update=2500, train_freq=16, train_start=0, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 8 x (4, 84, 84) uint8
iter  18500 |loss   0.18 |n_ep  4553 |ep_len   51.5 |ep_rew   0.48 |raw_ep_rew   2.32 |env_step 148000 |time 18:42 rem 992:52
iter  19000 |loss   0.07 |n_ep  4634 |ep_len   42.0 |ep_rew   0.24 |raw_ep_rew   5.52 |env_step 152000 |time 19:12 rem 992:05
iter  19500 |loss  -0.18 |n_ep  4708 |ep_len   60.6 |ep_rew   0.67 |raw_ep_rew   5.22 |env_step 156000 |time 19:43 rem 991:31
iter  20000 |loss   0.04 |n_ep  4785 |ep_len   50.3 |ep_rew   0.48 |raw_ep_rew   5.50 |env_step 160000 |time 20:13 rem 990:51
iter  20500 |loss  -0.10 |n_ep  4858 |ep_len   60.5 |ep_rew   0.68 |raw_ep_rew   6.95 |env_step 164000 |time 20:43 rem 990:08
iter  21000 |loss  -0.02 |n_ep  4938 |ep_len   53.4 |ep_rew   0.60 |raw_ep_rew   6.48 |env_step 168000 |time 21:13 rem 989:31
iter  21500 |loss  -0.12 |n_ep  5015 |ep_len   55.8 |ep_rew   0.67 |raw_ep_rew   6.06 |env_step 172000 |time 21:43 rem 988:47
iter  22000 |loss  -0.14 |n_ep  5097 |ep_len   42.1 |ep_rew   0.09 |raw_ep_rew   5.31 |env_step 176000 |time 22:13 rem 988:08
iter  22500 |loss  -0.03 |n_ep  5174 |ep_len   51.2 |ep_rew   0.42 |raw_ep_rew   4.61 |env_step 180000 |time 22:43 rem 987:25
iter  23000 |loss   0.06 |n_ep  5250 |ep_len   49.8 |ep_rew   0.45 |raw_ep_rew   7.19 |env_step 184000 |time 23:13 rem 986:48
iter  23500 |loss  -0.00 |n_ep  5332 |ep_len   55.7 |ep_rew   0.62 |raw_ep_rew   6.90 |env_step 188000 |time 23:43 rem 986:11
iter  24000 |loss   0.09 |n_ep  5411 |ep_len   47.9 |ep_rew   0.38 |raw_ep_rew   6.34 |env_step 192000 |time 24:14 rem 985:32
iter  24500 |loss   0.00 |n_ep  5493 |ep_len   49.0 |ep_rew   0.38 |raw_ep_rew   6.46 |env_step 196000 |time 24:44 rem 984:52
iter  25000 |loss  -0.02 |n_ep  5574 |ep_len   52.2 |ep_rew   0.59 |raw_ep_rew   7.04 |env_step 200000 |time 25:14 rem 984:18
iter  25500 |loss   0.06 |n_ep  5652 |ep_len   56.9 |ep_rew   0.54 |raw_ep_rew   5.99 |env_step 204000 |time 25:44 rem 983:38
iter  26000 |loss  -0.04 |n_ep  5729 |ep_len   50.9 |ep_rew   0.49 |raw_ep_rew   6.49 |env_step 208000 |time 26:14 rem 983:04
iter  26500 |loss  -0.01 |n_ep  5806 |ep_len   59.4 |ep_rew   0.75 |raw_ep_rew   7.98 |env_step 212000 |time 26:44 rem 982:26
iter  27000 |loss  -0.09 |n_ep  5886 |ep_len   43.4 |ep_rew   0.27 |raw_ep_rew   7.41 |env_step 216000 |time 27:14 rem 981:47
iter  27500 |loss  -0.08 |n_ep  5967 |ep_len   48.3 |ep_rew   0.40 |raw_ep_rew   6.87 |env_step 220000 |time 27:44 rem 981:10
iter  28000 |loss   0.03 |n_ep  6049 |ep_len   47.8 |ep_rew   0.36 |raw_ep_rew   5.97 |env_step 224000 |time 28:14 rem 980:36
iter  28500 |loss  -0.01 |n_ep  6128 |ep_len   51.9 |ep_rew   0.52 |raw_ep_rew   7.70 |env_step 228000 |time 28:44 rem 980:00
iter  29000 |loss   0.02 |n_ep  6204 |ep_len   52.9 |ep_rew   0.54 |raw_ep_rew   7.26 |env_step 232000 |time 29:15 rem 979:24
iter  29500 |loss  -0.01 |n_ep  6282 |ep_len   51.5 |ep_rew   0.51 |raw_ep_rew   6.72 |env_step 236000 |time 29:45 rem 978:45
iter  30000 |loss   0.13 |n_ep  6364 |ep_len   44.5 |ep_rew   0.28 |raw_ep_rew   6.51 |env_step 240000 |time 30:15 rem 978:12
iter  30500 |loss  -0.00 |n_ep  6440 |ep_len   59.8 |ep_rew   0.64 |raw_ep_rew   6.37 |env_step 244000 |time 30:45 rem 977:35
